prop_key,prop_value
Gwalior,gwalior_madhya_pradesh
Harda,harda_madhya_pradesh
Hoshangabad,hoshangabad_madhya_pradesh
Indore,indore_madhya_pradesh
Jabalpur,jabalpur_madhya_pradesh
Jhabua,jhabua_madhya_pradesh
Katni,katni_madhya_pradesh
Khajuraho,khajuraho_madhya_pradesh
Khandwa,khandwa_madhya_pradesh
Khargone,khargone_madhya_pradesh
Mandla,mandla_madhya_pradesh
Mandsaur,mandsaur_madhya_pradesh
Morena,morena_madhya_pradesh
Narsimhapur,narsimhapur_madhya_pradesh
Nimach,nimach_madhya_pradesh
Orchha,orchha_madhya_pradesh
Panna,panna_madhya_pradesh
Raisen,raisen_madhya_pradesh
Rajgarh,rajgarh_madhya_pradesh
Ratlam,ratlam_madhya_pradesh
Rewa,rewa_madhya_pradesh
Sagar,sagar_madhya_pradesh
Satna,satna_madhya_pradesh
Sehore,sehore_madhya_pradesh
Seoni,seoni_madhya_pradesh
Shahdol,shahdol_madhya_pradesh
Shajapur,shajapur_madhya_pradesh
Shivpuri,shivpuri_madhya_pradesh
Sidhi,sidhi_madhya_pradesh
Singrauli,singrauli_madhya_pradesh
Tikamgarh,tikamgarh_madhya_pradesh
Ujjain,ujjain_madhya_pradesh
Umaria,umaria_madhya_pradesh
Vidisha,vidisha_madhya_pradesh
Aizawl,aizawl_mizoram
Champhai,champhai_mizoram
Kolasib,kolasib_mizoram
Lunglei,lunglei_mizoram
Mamit,mamit_mizoram
Saiha,saiha_mizoram
Serchhip,serchhip_mizoram
Dimapur,dimapur_nagaland
Kohima,kohima_nagaland
Mokokchung,mokokchung_nagaland
Phek,phek_nagaland
Tuensang,tuensang_nagaland
Wokha,wokha_nagaland
Zunheboto,zunheboto_nagaland
Angul,angul_orissa
Balangir,balangir_orissa
Baleshwar,baleshwar_orissa
Bargarh,bargarh_orissa
Baripada,baripada_orissa
Bhadrak,bhadrak_orissa
Bhubaneswar,bhubaneswar_orissa
Cuttack,cuttack_orissa
Debagarh,debagarh_orissa
Dhenkanal,dhenkanal_orissa
Ganjam,ganjam_orissa
Jagatsinghapur,jagatsinghapur_orissa
Jajapur,jajapur_orissa
Jharsuguda,jharsuguda_orissa
Kalahandi,kalahandi_orissa
Kendrapara,kendrapara_orissa
Kendujhar,kendujhar_orissa
Khurda,khurda_orissa
Koraput,koraput_orissa
Mayurbhanj,mayurbhanj_orissa
Nabarangapur,nabarangapur_orissa
Nayagarh,nayagarh_orissa
Puri,puri_orissa
Raurkela,raurkela_orissa
Rayagada,rayagada_orissa
Sambalpur,sambalpur_orissa
Sundargarh,sundargarh_orissa
Amritsar,amritsar_punjab
Barnala,barnala_punjab
Bhatinda,bhatinda_punjab
Faridkot,faridkot_punjab
Fatehgarh Sahib,fatehgarh_sahib_punjab
Firozpur,firozpur_punjab
Gurdaspur,gurdaspur_punjab
Hoshiarpur,hoshiarpur_punjab
Jalandhar,jalandhar_punjab
Kapurthala,kapurthala_punjab
Ludhiana,ludhiana_punjab
Mansa,mansa_punjab
Moga,moga_punjab
Muktsar,muktsar_punjab
Nawan Shehar,nawan_shehar_punjab
Pathankot,pathankot_punjab
Patiala,patiala_punjab
Ropar,ropar_punjab
Rupnagar,rupnagar_punjab
Sangrur,sangrur_punjab
Tarn Taran,tarn_taran_punjab
Karaikal,karaikal_pondicherry
Mahe,mahe_pondicherry
Pondicherry,pondicherry_city
Yanam,yanam_pondicherry
Ajmer,ajmer_rajasthan
Alwar,alwar_rajasthan
Banswara,banswara_rajasthan
Baran,baran_rajasthan
Barmer,barmer_rajasthan
Bharatpur,bharatpur_rajasthan
Bhilwara,bhilwara_rajasthan
Bhiwadi,bhiwadi_rajasthan
Bikaner,bikaner_rajasthan
Bundi,bundi_rajasthan
Chittaurgarh,chittaurgarh_rajasthan
Churu,churu_rajasthan
Dausa,dausa_rajasthan
Dholpur,dholpur_rajasthan
Dungarpur,dungarpur_rajasthan
Hanumangarh,hanumangarh_rajasthan
Jaipur,jaipur_rajasthan
Jaisalmer,jaisalmer_rajasthan
Jalor,jalor_rajasthan
Jhalawar,jhalawar_rajasthan
Jhunjhunu,jhunjhunu_rajasthan
Jodhpur,jodhpur_rajasthan
Karauli,karauli_rajasthan
Kota,kota_rajasthan
Nagaur,nagaur_rajasthan
Nawalgarh,nawalgarh_rajasthan
Pali,pali_rajasthan
Pushkar,pushkar_rajasthan
Rajsamand,rajsamand_rajasthan
Sawai Madhopur,sawai_madhopur_rajasthan
Shri Ganganagar,shri_ganganagar_rajasthan
Sikar,sikar_rajasthan
Sirohi,sirohi_rajasthan
Tonk,tonk_rajasthan
Udaipur,udaipur_rajasthan
Adilabad,adilabad_telangana
Hyderabad,hyderabad_telangana
Karimnagar,karimnagar_telangana
Khammam,khammam_telangana
Mahbubnagar,mahbubnagar_telangana
Medak,medak_telangana
Nalgonda,nalgonda_telangana
Nizamabad,nizamabad_telangana
Ranga Reddy,ranga_reddy_telangana
Warangal,warangal_telangana
Ariyalur,ariyalur_tamil_nadu
Chennai,chennai_tamil_nadu
Coimbatore,coimbatore_tamil_nadu
Cuddalore,cuddalore_tamil_nadu
Dharmapuri,dharmapuri_tamil_nadu
Dindigul,dindigul_tamil_nadu
Erode,erode_tamil_nadu
Kanchipuram,kanchipuram_tamil_nadu
Kanniyakumari,kanniyakumari_tamil_nadu
Karur,karur_tamil_nadu
Kodaikanal,kodaikanal_tamil_nadu
Kovalam,kovalam_tamil_nadu
Krishnagiri,krishnagiri_tamil_nadu
Madurai,madurai_tamil_nadu
Mamallapuram,mamallapuram_tamil_nadu
Marakkanam,marakkanam_tamil_nadu
Matli,matli_tamil_nadu
Nagapattinam,nagapattinam_tamil_nadu
Namakkal,namakkal_tamil_nadu
Nilgiris,nilgiris_tamil_nadu
Ooty,ooty_tamil_nadu
Paramakudi,paramakudi_tamil_nadu
Perambalur,perambalur_tamil_nadu
Perungalathur,perungalathur_tamil_nadu
Pudukkottai,pudukkottai_tamil_nadu
Ramanathapuram,ramanathapuram_tamil_nadu
Salem,salem_tamil_nadu
Sivaganga,sivaganga_tamil_nadu
Thanjavur,thanjavur_tamil_nadu
Theni,theni_tamil_nadu
